variable,question,file
SONA,"ID#



Before we move on ––

What is your participant ID# on SONA?

SONA Provides you with an ID# (e.g., 12345). Visit SONA here to find it: https://cornellpsych.sona-systems.com/



Note: If you don’t have a SONA ID#, please write your Cornell email address (e.g., jdf269@cornell.edu). Your data will remain confidential. I will ‘de-identify’ your information before sharing the study results with anyone.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
StartDate,Start Date,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
EndDate,End Date,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
Status,Response Type,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
Progress,Progress,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
Duration..in.seconds.,Duration (in seconds),"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
Finished,Finished,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
RecordedDate,Recorded Date,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
ResponseId,Response ID,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
DistributionChannel,Distribution Channel,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
UserLanguage,User Language,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
Q_RecaptchaScore,Q_RecaptchaScore,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
CONSENT,Please indicate whether you consent to participate.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
NO.CONSENT.EXIT,"We understand that you would like to discontinue the survey. You are welcome to share your reason for exiting in the text block below, however this is not a requirement.

 
Thank you for your time.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
GEN,What is your current gender identity? - Selected Choice,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
GEN_9_TEXT,What is your current gender identity? - Something else (please specify) - Text,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
AGE,Why did you choose to take the question tour?,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
ETHN,What is your ethnic group? - Selected Choice,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
ETHN_7_TEXT,What is your ethnic group? - Biracial/Multiethnic (please specify): - Text,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
ETHN_8_TEXT,What is your ethnic group? - Something else (please specify): - Text,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
EDU,What is the highest level of school you have completed or the highest degree you have received?,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
A1ATT,"On a scale of 1-7, please select the number ‘6’ below (to confirm your attention to this question).","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
SWLS1,In most ways my life is close to my ideal.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
SWLS2,The conditions of my life are excellent.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
SWLS3,I am satisfied with my life.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
SWLS4,"So far, I have gotten the important things I want in life.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
SWLS5,"If I could live my life over, I would change almost nothing.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
A1BEL,"Please respond to the following statement in terms of your agreement with it:



I feel like there’s a place for me here at my university.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS01,I lead a purposeful and meaningful life.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS02,My social relationships are supportive and rewarding.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS03,I am engaged and interested in my daily activities.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS04,I actively contribute to the happiness and well-being of others.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS05,I am competent and capable in the activities that are important to me.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS06,I am a good person and live a good life.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS07,I am optimistic about my future.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
FS08,People respect me.,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
P1SPANE,Positive,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
N1SPANE,Negative,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
P2SPANE,Good,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
N2SPANE,Bad,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
P3SPANE,Pleasant,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
N3SPANE,Unpleasant,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
P4SPANE,Happy,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
N4SPANE,Sad,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
N5SPANE,Afraid,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
P5SPANE,Joyful,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
N6SPANE,Angry,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
P6SPANE,Contented,"DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS01,"The experience of well-being and the good life necessarily involves…”



A great amount of pleasure.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS02,"The experience of well-being and the good life necessarily involves…”


Experiencing a great deal of sensual pleasure.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS03,"The experience of well-being and the good life necessarily involves…”


Living in ways that benefit others.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS04,"The experience of well-being and the good life necessarily involves…”


Not experiencing hassles.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS05,"The experience of well-being and the good life necessarily involves…”


Making the world a better place.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS06,"The experience of well-being and the good life necessarily involves…”



Working to achieve one's true potential.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS07,"The experience of well-being and the good life necessarily involves…”


Not experiencing negative emotions.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS08,"The experience of well-being and the good life necessarily involves…”


The identification and cultivation of one's strengths.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS09,"The experience of well-being and the good life necessarily involves…”


Experiencing euphoria and pleasure.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS10,"The experience of well-being and the good life necessarily involves…”


Being a positive influence within the community.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS11,"The experience of well-being and the good life necessarily involves…”


The exertion of effort to meet life's challenges.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS12,"The experience of well-being and the good life necessarily involves…”


Pleasurable experiences.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
BWBS13,"The experience of well-being and the good life necessarily involves…”


Contribution to society.","DRM_Day 1_Packet A1_Cornell_250204_July 4, 2025_00.33.csv"
